,dataset,rep,fold,score
123,nBag_50_nFeat_2_nInsPerBag_10,5,7,3.687511884388667
124,nBag_50_nFeat_2_nInsPerBag_10,5,8,2.95969053051911
125,nBag_50_nFeat_2_nInsPerBag_10,5,9,2.8365062490276407
126,nBag_50_nFeat_2_nInsPerBag_10,6,1,3.377756263987011
127,nBag_50_nFeat_2_nInsPerBag_10,6,2,2.605447803764974
128,nBag_50_nFeat_2_nInsPerBag_10,6,3,3.0807171699255855
129,nBag_50_nFeat_2_nInsPerBag_10,6,4,3.2170568070453984
130,nBag_50_nFeat_2_nInsPerBag_10,6,5,3.007482411104773
131,nBag_50_nFeat_2_nInsPerBag_10,6,6,2.4268753565316596
132,nBag_50_nFeat_2_nInsPerBag_10,6,7,3.2463511531252545
133,nBag_50_nFeat_2_nInsPerBag_10,6,8,3.5904266155977504
134,nBag_50_nFeat_2_nInsPerBag_10,6,9,3.434972072992609
135,nBag_50_nFeat_2_nInsPerBag_10,7,1,2.86506125553473
136,nBag_50_nFeat_2_nInsPerBag_10,7,2,3.3227799961969953
137,nBag_50_nFeat_2_nInsPerBag_10,7,3,2.644742346453698
138,nBag_50_nFeat_2_nInsPerBag_10,7,4,2.00969766115231
139,nBag_50_nFeat_2_nInsPerBag_10,7,5,3.1008420938255505
140,nBag_50_nFeat_2_nInsPerBag_10,7,6,1.9592262830818168
141,nBag_50_nFeat_2_nInsPerBag_10,7,7,2.067527096406161
142,nBag_50_nFeat_2_nInsPerBag_10,7,8,2.951761605954418
143,nBag_50_nFeat_2_nInsPerBag_10,7,9,2.85555114135405
144,nBag_50_nFeat_2_nInsPerBag_10,8,1,3.300804063781816
145,nBag_50_nFeat_2_nInsPerBag_10,8,2,3.340436236293338
146,nBag_50_nFeat_2_nInsPerBag_10,8,3,2.738648031945236
147,nBag_50_nFeat_2_nInsPerBag_10,8,4,2.466472209626802
148,nBag_50_nFeat_2_nInsPerBag_10,8,5,2.5452217098054777
149,nBag_50_nFeat_2_nInsPerBag_10,8,6,3.0649695759650126
150,nBag_50_nFeat_2_nInsPerBag_10,8,7,3.42902946689229
151,nBag_50_nFeat_2_nInsPerBag_10,8,8,2.8854019675543676
152,nBag_50_nFeat_2_nInsPerBag_10,8,9,2.6933703220782514
153,nBag_50_nFeat_2_nInsPerBag_10,9,1,3.0053006458435494
154,nBag_50_nFeat_2_nInsPerBag_10,9,2,3.4309259314858735
155,nBag_50_nFeat_2_nInsPerBag_10,9,3,2.8573399848625516
156,nBag_50_nFeat_2_nInsPerBag_10,9,4,3.539961653039234
157,nBag_50_nFeat_2_nInsPerBag_10,9,5,2.3977548692038133
158,nBag_50_nFeat_2_nInsPerBag_10,9,6,3.0718767826582996
159,nBag_50_nFeat_2_nInsPerBag_10,9,7,3.217702580276513
160,nBag_50_nFeat_2_nInsPerBag_10,9,8,2.5106008746910056
161,nBag_50_nFeat_2_nInsPerBag_10,9,9,3.758908537744819
162,nBag_25_nFeat_2_nInsPerBag_10,1,1,-0.9972521982414071
163,nBag_25_nFeat_2_nInsPerBag_10,1,2,-0.9280131450395241
164,nBag_25_nFeat_2_nInsPerBag_10,1,3,-0.8803538986992226
165,nBag_25_nFeat_2_nInsPerBag_10,1,4,-0.5851144481240407
166,nBag_25_nFeat_2_nInsPerBag_10,1,5,-0.824223228255003
167,nBag_25_nFeat_2_nInsPerBag_10,1,6,-1.3274130695443649
168,nBag_25_nFeat_2_nInsPerBag_10,1,7,-0.6353493395759583
169,nBag_25_nFeat_2_nInsPerBag_10,1,8,-0.6454106556025023
170,nBag_25_nFeat_2_nInsPerBag_10,1,9,-0.9266264765965008
171,nBag_25_nFeat_2_nInsPerBag_10,2,1,-0.6554760820972854
172,nBag_25_nFeat_2_nInsPerBag_10,2,2,-0.7059516408037592
173,nBag_25_nFeat_2_nInsPerBag_10,2,3,-1.1659094946265214
174,nBag_25_nFeat_2_nInsPerBag_10,2,4,-1.0016101404590616
175,nBag_25_nFeat_2_nInsPerBag_10,2,5,-1.2286681765698557
176,nBag_25_nFeat_2_nInsPerBag_10,2,6,-0.6288569144684254
177,nBag_25_nFeat_2_nInsPerBag_10,2,7,-0.4715982769340085
178,nBag_25_nFeat_2_nInsPerBag_10,2,8,-0.9173365011694351
179,nBag_25_nFeat_2_nInsPerBag_10,2,9,-0.6773980815347723
180,nBag_25_nFeat_2_nInsPerBag_10,3,1,-1.131529696877419
181,nBag_25_nFeat_2_nInsPerBag_10,3,2,-0.8092614797051251
182,nBag_25_nFeat_2_nInsPerBag_10,3,3,-0.7128638755662138
183,nBag_25_nFeat_2_nInsPerBag_10,3,4,-0.8154087840838442
184,nBag_25_nFeat_2_nInsPerBag_10,3,5,-0.9729207110502077
185,nBag_25_nFeat_2_nInsPerBag_10,3,6,-0.6431883064976592
186,nBag_25_nFeat_2_nInsPerBag_10,3,7,-0.6302513544719781
187,nBag_25_nFeat_2_nInsPerBag_10,3,8,-1.0197952748911985
188,nBag_25_nFeat_2_nInsPerBag_10,3,9,-1.0211021658863388
189,nBag_25_nFeat_2_nInsPerBag_10,4,1,-0.7140110134114932
190,nBag_25_nFeat_2_nInsPerBag_10,4,2,-0.7388422595257129
191,nBag_25_nFeat_2_nInsPerBag_10,4,3,-1.25718758326672
192,nBag_25_nFeat_2_nInsPerBag_10,4,4,-0.7349266618451272
193,nBag_25_nFeat_2_nInsPerBag_10,4,5,-0.678386021341657
194,nBag_25_nFeat_2_nInsPerBag_10,4,6,-0.8834817859997718
195,nBag_25_nFeat_2_nInsPerBag_10,4,7,-0.6108969966883637
196,nBag_25_nFeat_2_nInsPerBag_10,4,8,-0.6113847017623998
197,nBag_25_nFeat_2_nInsPerBag_10,4,9,-0.6589516265775259
198,nBag_25_nFeat_2_nInsPerBag_10,5,1,-1.1447810005963488
199,nBag_25_nFeat_2_nInsPerBag_10,5,2,-0.9417767068396568
200,nBag_25_nFeat_2_nInsPerBag_10,5,3,-0.8846300737188028
201,nBag_25_nFeat_2_nInsPerBag_10,5,4,-0.7658273381294965
202,nBag_25_nFeat_2_nInsPerBag_10,5,5,-0.7648941164528696
203,nBag_25_nFeat_2_nInsPerBag_10,5,6,-0.803017182213825
204,nBag_25_nFeat_2_nInsPerBag_10,5,7,-0.6054570485026122
205,nBag_25_nFeat_2_nInsPerBag_10,5,8,-1.1702554622968295
206,nBag_25_nFeat_2_nInsPerBag_10,5,9,-0.6390857155545405
207,nBag_25_nFeat_2_nInsPerBag_10,6,1,-0.8652252800933858
208,nBag_25_nFeat_2_nInsPerBag_10,6,2,-0.7425242589810938
209,nBag_25_nFeat_2_nInsPerBag_10,6,3,-0.828410604849454
210,nBag_25_nFeat_2_nInsPerBag_10,6,4,-0.805817250961136
211,nBag_25_nFeat_2_nInsPerBag_10,6,5,-0.6688360422772894
212,nBag_25_nFeat_2_nInsPerBag_10,6,6,-0.6197682879337558
213,nBag_25_nFeat_2_nInsPerBag_10,6,7,-0.6933694314389759
214,nBag_25_nFeat_2_nInsPerBag_10,6,8,-0.7635082410262267
215,nBag_25_nFeat_2_nInsPerBag_10,6,9,-0.790702993161027
216,nBag_25_nFeat_2_nInsPerBag_10,7,1,-0.7311460355525105
217,nBag_25_nFeat_2_nInsPerBag_10,7,2,-0.8683415172623806
218,nBag_25_nFeat_2_nInsPerBag_10,7,3,-0.9905623120551181
219,nBag_25_nFeat_2_nInsPerBag_10,7,4,-0.7493172128963498
220,nBag_25_nFeat_2_nInsPerBag_10,7,5,-0.7592229246905509
221,nBag_25_nFeat_2_nInsPerBag_10,7,6,-0.9594665933919534
222,nBag_25_nFeat_2_nInsPerBag_10,7,7,-0.7971581708991783
223,nBag_25_nFeat_2_nInsPerBag_10,7,8,-0.9004490851763035
224,nBag_25_nFeat_2_nInsPerBag_10,7,9,-0.6826945850726827
225,nBag_25_nFeat_2_nInsPerBag_10,8,1,-0.8808120170530244
226,nBag_25_nFeat_2_nInsPerBag_10,8,2,-0.9099881782885382
227,nBag_25_nFeat_2_nInsPerBag_10,8,3,-0.6905409006128432
228,nBag_25_nFeat_2_nInsPerBag_10,8,4,-0.823163691269207
229,nBag_25_nFeat_2_nInsPerBag_10,8,5,-0.8379518607336356
230,nBag_25_nFeat_2_nInsPerBag_10,8,6,-1.1421768141042727
231,nBag_25_nFeat_2_nInsPerBag_10,8,7,-0.9047213666518226
232,nBag_25_nFeat_2_nInsPerBag_10,8,8,-0.9007606084444616
233,nBag_25_nFeat_2_nInsPerBag_10,8,9,-0.9766279040259859
234,nBag_25_nFeat_2_nInsPerBag_10,9,1,-0.7931916371664576
235,nBag_25_nFeat_2_nInsPerBag_10,9,2,-1.0514398005405203
236,nBag_25_nFeat_2_nInsPerBag_10,9,3,-0.7678595219062847
237,nBag_25_nFeat_2_nInsPerBag_10,9,4,-1.2640087929656278
238,nBag_25_nFeat_2_nInsPerBag_10,9,5,-0.7782302444572631
239,nBag_25_nFeat_2_nInsPerBag_10,9,6,-0.6925258734811095
240,nBag_25_nFeat_2_nInsPerBag_10,9,7,-0.8471397241181415
241,nBag_25_nFeat_2_nInsPerBag_10,9,8,-0.6490848987476686
242,nBag_25_nFeat_2_nInsPerBag_10,9,9,-0.7122877455611271
243,nBag_25_nFeat_5_nInsPerBag_10,1,1,-0.856417590275295
244,nBag_25_nFeat_5_nInsPerBag_10,1,2,-2.5756614229531647
245,nBag_25_nFeat_5_nInsPerBag_10,1,3,-1.9563460850911696
246,nBag_25_nFeat_5_nInsPerBag_10,1,4,-0.6701695694366414
247,nBag_25_nFeat_5_nInsPerBag_10,1,5,-1.5507942182951124
248,nBag_25_nFeat_5_nInsPerBag_10,1,6,-1.8874814852648247
249,nBag_25_nFeat_5_nInsPerBag_10,1,7,-2.409784292694554
250,nBag_25_nFeat_5_nInsPerBag_10,1,8,-2.658309498271959
251,nBag_25_nFeat_5_nInsPerBag_10,1,9,-0.3450224446827952
252,nBag_25_nFeat_5_nInsPerBag_10,2,1,-2.5282048226274183
253,nBag_25_nFeat_5_nInsPerBag_10,2,2,-2.8204155813201224
254,nBag_25_nFeat_5_nInsPerBag_10,2,3,-1.2923131927064715
255,nBag_25_nFeat_5_nInsPerBag_10,2,4,-2.2108658086044577
256,nBag_25_nFeat_5_nInsPerBag_10,2,5,-2.572003166658155
257,nBag_25_nFeat_5_nInsPerBag_10,2,6,-2.795356135542049
258,nBag_25_nFeat_5_nInsPerBag_10,2,7,-2.6529572501149192
259,nBag_25_nFeat_5_nInsPerBag_10,2,8,-2.8512904983230336
260,nBag_25_nFeat_5_nInsPerBag_10,2,9,-2.778651730028205
261,nBag_25_nFeat_5_nInsPerBag_10,3,1,-3.558092003336909
262,nBag_25_nFeat_5_nInsPerBag_10,3,2,-3.5290681342254464
263,nBag_25_nFeat_5_nInsPerBag_10,3,3,-2.9026039804552504
264,nBag_25_nFeat_5_nInsPerBag_10,3,4,-2.3935555952806586
265,nBag_25_nFeat_5_nInsPerBag_10,3,5,-1.281491010776853
266,nBag_25_nFeat_5_nInsPerBag_10,3,6,-1.757073054463116
267,nBag_25_nFeat_5_nInsPerBag_10,3,7,-0.9890656655940891
268,nBag_25_nFeat_5_nInsPerBag_10,3,8,-1.9884221189369564
269,nBag_25_nFeat_5_nInsPerBag_10,3,9,-1.138060009350678
270,nBag_25_nFeat_5_nInsPerBag_10,4,1,-0.9722470504111549
271,nBag_25_nFeat_5_nInsPerBag_10,4,2,-1.7514598975092364
272,nBag_25_nFeat_5_nInsPerBag_10,4,3,-1.0497060342430384
273,nBag_25_nFeat_5_nInsPerBag_10,4,4,-0.8263386595528177
274,nBag_25_nFeat_5_nInsPerBag_10,4,5,-1.9969759265880114
275,nBag_25_nFeat_5_nInsPerBag_10,4,6,-3.126899853017122
276,nBag_25_nFeat_5_nInsPerBag_10,4,7,-1.5841253525602832
277,nBag_25_nFeat_5_nInsPerBag_10,4,8,-1.359353275334684
278,nBag_25_nFeat_5_nInsPerBag_10,4,9,-2.133423140439587
279,nBag_25_nFeat_5_nInsPerBag_10,5,1,-0.8098855917053988
280,nBag_25_nFeat_5_nInsPerBag_10,5,2,-1.3261480554562433
281,nBag_25_nFeat_5_nInsPerBag_10,5,3,-1.082038114429963
282,nBag_25_nFeat_5_nInsPerBag_10,5,4,-2.3840424264092483
283,nBag_25_nFeat_5_nInsPerBag_10,5,5,-1.6046716720295555
284,nBag_25_nFeat_5_nInsPerBag_10,5,6,-2.8132820879513774
285,nBag_25_nFeat_5_nInsPerBag_10,5,7,-2.967792873316649
286,nBag_25_nFeat_5_nInsPerBag_10,5,8,-3.2912108211178652
287,nBag_25_nFeat_5_nInsPerBag_10,5,9,-0.932582528900012
288,nBag_25_nFeat_5_nInsPerBag_10,6,1,-2.9207467184228
289,nBag_25_nFeat_5_nInsPerBag_10,6,2,-3.2157477399254306
290,nBag_25_nFeat_5_nInsPerBag_10,6,3,-2.030359909426767
291,nBag_25_nFeat_5_nInsPerBag_10,6,4,-1.7880101515693223
292,nBag_25_nFeat_5_nInsPerBag_10,6,5,-2.76065554931304
293,nBag_25_nFeat_5_nInsPerBag_10,6,6,-1.9356129867034408
294,nBag_25_nFeat_5_nInsPerBag_10,6,7,-2.0321475390299133
295,nBag_25_nFeat_5_nInsPerBag_10,6,8,-2.2481932172225347
296,nBag_25_nFeat_5_nInsPerBag_10,6,9,-2.1041534886279254
297,nBag_25_nFeat_5_nInsPerBag_10,7,1,-1.7246245977833397
298,nBag_25_nFeat_5_nInsPerBag_10,7,2,-1.5718231268195515
299,nBag_25_nFeat_5_nInsPerBag_10,7,3,-1.9092905664232087
300,nBag_25_nFeat_5_nInsPerBag_10,7,4,-1.280955785961149
301,nBag_25_nFeat_5_nInsPerBag_10,7,5,-2.3180964994962134
302,nBag_25_nFeat_5_nInsPerBag_10,7,6,-1.1537212489572162
303,nBag_25_nFeat_5_nInsPerBag_10,7,7,-3.38463830294363
304,nBag_25_nFeat_5_nInsPerBag_10,7,8,-0.8841616017161243
305,nBag_25_nFeat_5_nInsPerBag_10,7,9,-2.2224228339887975
306,nBag_25_nFeat_5_nInsPerBag_10,8,1,-3.432581039208677
